,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
1,Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,False,120000
3,Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,False,42000
5,CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,False,58000
6,Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,False,85000
7,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,False,48000
8,Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,False,81500
10,C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,False,55000
11,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,False,145000
12,LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,False,38000
13,FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,False,140000
18,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,False,65000
21,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,False,76000
23,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,False,32000
24,Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,False,23000
25,5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,False,42000
26,Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,False,20000
29,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,False,23000
30,ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,False,45000
31,Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,False,30000
32,Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,False,149000
35,A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,False,179000
36,Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,False,22000
37,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,False,55000
39,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,False,49500
41,Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,False,52000
43,Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,False,25000
45,X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,False,72000
47,Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,False,105000
49,VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,False,99000
50,Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,False,57000
51,The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,False,140000
55,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,False,72000
56,Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,False,110000
57,Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,False,55000
61,Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,False,56500
64,FJ,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,False,90000
67,MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,False,71500
69,Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,False,29000
70,Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,False,62000
71,Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,False,141000
76,Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,False,60000
77,6,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,False,93000
79,Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,False,68000
80,Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,False,50000
83,Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,False,69000
84,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,False,121500
85,Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,False,38000
87,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,False,51000
89,Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,False,109000
90,Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,False,48000
92,Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,False,47000
93,C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,False,88000
94,Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,False,15000
95,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,False,20000
96,Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,False,47000
98,Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,False,142000
100,Datsun,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,False,53000
101,Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,False,39000
103,Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,False,58000
105,Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,False,78500
106,Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,False,60000
108,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,False,60000
111,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,False,35000
112,Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,False,30000
114,S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,False,45000
116,Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,False,45500
118,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,False,125000
120,S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,False,63000
121,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,False,63000
122,Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,False,80000
124,Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,False,60000
126,Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,False,44000
128,3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,False,54000
129,Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,False,37000
130,Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,False,35000
131,Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,False,79000
132,H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,False,70000
135,Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,False,81000
136,Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,False,48000
139,Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,False,68500
142,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,False,80000
144,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,False,33500
146,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,False,33000
149,Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,False,118000
155,Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,False,36500
157,Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,False,32000
158,CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,False,63000
161,Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,False,65000
163,Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,False,57000
164,Optima,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,False,48000
165,Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,False,75000
169,Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,False,61500
170,Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,False,25000
171,Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,False,32000
172,Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011,5.3,231000,False,45000
175,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,False,44500
178,Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2016,2.4,128,False,35000
179,Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,False,39000
181,Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,False,99000
183,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,False,29000
184,CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,False,32000
185,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,False,60000
187,Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,False,37000
188,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,False,125000
189,Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,False,107000
190,ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,False,102000
191,Navigator,Khobar,Lincoln,Automatic,Saudi,Full,2013,5.7,27700,False,50000
192,Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016,5.3,205544,False,99500
193,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,False,58000
195,ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,False,122000
196,ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,False,65000
199,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,False,23000
200,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,False,21000
201,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,107000,False,77000
202,Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,False,88000
204,Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,False,52000
205,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,110790,False,77000
206,The 7,Al-Medina,BMW,Automatic,Saudi,Full,2014,2.0,116000,False,100000
208,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,False,58000
209,Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,False,59500
210,CX9,Dammam,Mazda,Automatic,Other,Full,2016,2.5,104000,False,105000
213,Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,False,45000
214,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,False,30000
216,Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,False,59500
217,Camry,Makkah,Toyota,Automatic,Saudi,Full,2020,2.4,2000,False,119000
219,Azera,Jeddah,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,False,56500
222,CS35,Riyadh,Changan,Automatic,Saudi,Full,2021,1.6,5000,False,44000
223,Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,False,38500
225,Edge,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,240000,False,35000
226,LS,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,132000,False,165000
227,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,300000,False,48000
228,Hilux,Najran,Toyota,Manual,Saudi,Full,2018,2.7,122000,False,65000
229,The 3,Riyadh,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,False,45000
230,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,143000,False,60000
234,Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2015,2.0,300,False,25000
236,Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,False,72910
237,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2010,4.6,344000,False,88000
238,Sedona,Jeddah,Kia,Automatic,Other,Semi Full,2016,3.2,118000,False,65000
240,Victoria,Khobar,Ford,Automatic,Saudi,Standard,2011,4.6,176000,False,50000
241,Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,False,77000
243,Corolla,Riyadh,Toyota,Automatic,Saudi,Full,2003,1.0,50000,False,15000
245,Tahoe,Aseer,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,False,35000
247,Grand Cherokee,Dammam,Jeep,Automatic,Saudi,Full,2013,5.7,77000,False,77000
249,Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,False,33000
257,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,False,35500
259,ES,Dammam,Lexus,Automatic,Saudi,Full,2013,1.6,263000,False,66000
260,Hilux,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,174172,False,65000
261,Hilux,Jazan,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,False,75000
263,Safrane,Jeddah,Renault,Automatic,Saudi,Full,2012,2.6,144000,False,20000
267,Cadenza,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,False,70000
270,Silverado,Dammam,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,False,85000
271,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,128439,False,76500
272,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,False,55000
273,Malibu,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,False,27000
274,Land Cruiser Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,False,95000
276,Charger,Riyadh,Dodge,Automatic,Missing,Full,2020,3.6,9120,False,115000
277,Rio,Jeddah,Kia,Automatic,Other,Standard,2017,1.4,147000,False,26000
278,Maxima,Dammam,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,False,20000
279,X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,False,69500
280,Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,False,15000
282,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,54000,False,80000
285,Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2012,3.5,327000,False,35000
288,Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,False,28500
293,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,False,50000
296,Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,False,40000
298,FJ,Jeddah,Toyota,Automatic,Saudi,Standard,2016,4.0,130,False,100000
299,Seven,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,55531,False,27500
300,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,False,89000
301,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,False,32000
302,Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,False,49000
303,Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,False,138000
305,Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,False,126000
310,C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,False,40000
311,6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2015,2.0,82914,False,53000
312,Focus,Riyadh,Ford,Automatic,Saudi,Standard,2012,1.6,181,False,15000
313,Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,285000,False,36000
315,Caprice,Al-Baha,Chevrolet,Automatic,Other,Full,2009,6.0,350000,False,15000
316,Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,86852,False,109000
317,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2009,5.4,360,False,32000
318,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,160000,False,100000
322,3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,2.0,31000,False,54000
323,Camry,Al-Baha,Toyota,Automatic,Gulf Arabic,Standard,2014,2.2,80250,False,55000
324,ES,Riyadh,Lexus,Automatic,Other,Full,2018,3.5,66000,False,139000
325,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.8,200,False,56000
334,The 5,Jubail,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,16000,False,145000
336,CT-S,Dammam,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,False,135000
337,Malibu,Jeddah,Chevrolet,Automatic,Other,Semi Full,2013,2.5,220000,False,21000
340,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,166000,False,43000
341,LX,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,220000,False,180000
342,C,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,False,108000
344,Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,3.6,122102,False,53500
346,QX,Dammam,INFINITI,Automatic,Saudi,Full,2016,5.6,185000,False,119000
348,Seven,Riyadh,Changan,Automatic,Saudi,Standard,2021,1.5,11000,False,32500
349,Blazer,Wadi Dawasir,Chevrolet,Automatic,Saudi,Full,2008,3.6,128000,False,15000
352,C300,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,2018,5.7,49000,False,135000
353,Taurus,Taef,Ford,Automatic,Saudi,Standard,2011,3.5,22000,False,50000
357,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,132000,False,65000
359,H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,209677,False,47500
363,Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,91815,False,86000
364,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,124000,False,58500
365,Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,163000,False,69500
366,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2018,1.5,88000,False,24000
367,Sonata,Qassim,Hyundai,Automatic,Other,Semi Full,2016,2.4,152000,False,52000
368,Impala,Dammam,Chevrolet,Automatic,Gulf Arabic,Standard,2018,3.6,112000,False,67000
369,Innova,Riyadh,Toyota,Automatic,Saudi,Full,2015,2.7,226000,False,45000
372,The M,Dammam,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,1600,False,135000
373,CX9,Taef,Mazda,Automatic,Saudi,Full,2015,2.5,234000,False,57000
374,Yukon,Jeddah,GMC,Automatic,Other,Full,2020,5.3,63860,False,175000
375,Land Cruiser Pickup,Riyadh,Nissan,Manual,Saudi,Full,2012,4.8,339822,False,40000
376,Accord,Riyadh,Honda,Automatic,Saudi,Full,2017,2.4,139806,False,71500
377,Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,False,66000
379,Cadenza,Riyadh,Kia,Automatic,Gulf Arabic,Full,2018,3.3,69000,False,95000
380,Camaro,Riyadh,Chevrolet,Automatic,Other,Full,2017,2.0,81633,False,120000
386,Genesis,Riyadh,Hyundai,Automatic,Saudi,Full,2017,5.0,106000,False,90000
387,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,43000,False,30000
390,Taurus,Khobar,Ford,Automatic,Saudi,Semi Full,2011,3.5,281000,False,29500
391,Camry,Riyadh,Toyota,Automatic,Saudi,Full,2013,2.5,185000,False,42000
393,Land Cruiser 70,Hail,Toyota,Manual,Saudi,Semi Full,2011,4.0,352500,False,58000
395,Fusion,Al-Ahsa,Ford,Automatic,Saudi,Standard,2016,2.5,80000,False,50000
399,Pathfinder,Riyadh,Nissan,Automatic,Saudi,Semi Full,2006,4.0,325000,False,15000
401,Grand Cherokee,Khobar,Jeep,Automatic,Saudi,Full,2020,3.6,52000,False,162000
403,Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,False,121500
404,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,353000,False,39500
405,Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,2.5,90000,False,55000
409,Camry,Dammam,Toyota,Automatic,Saudi,Full,2020,3.5,26000,False,126000
410,Cerato,Qassim,Kia,Automatic,Saudi,Semi Full,2016,1.6,12100,False,30000
412,Charger,Jeddah,Dodge,Automatic,Saudi,Full,2017,5.7,64000,False,145000
413,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,16682,False,76500
414,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,129413,False,57500
415,Traverse,Jubail,Chevrolet,Automatic,Gulf Arabic,Full,2012,3.6,176000,False,40000
416,Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,203843,False,90000
420,FJ,Qassim,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,114000,False,115000
425,Suburban,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,False,170000
426,Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,110000,False,144000
427,Impala,Qassim,Chevrolet,Automatic,Gulf Arabic,Standard,2019,3.5,53000,False,80000
428,Charger,Riyadh,Dodge,Automatic,Saudi,Semi Full,2016,3.6,157136,False,84500
429,CX3,Al-Medina,Mazda,Automatic,Saudi,Semi Full,2018,2.9,78000,False,54000
430,Cerato,Arar,Kia,Automatic,Saudi,Standard,2015,1.6,120000,False,25000
431,Furniture,Aseer,Toyota,Automatic,Saudi,Semi Full,2013,4.1,285000,False,55000
433,C,Aseer,Mercedes,Automatic,Other,Full,2018,2.0,91000,False,138000
435,Civic,Jeddah,Honda,Automatic,Saudi,Full,2016,2.0,68800,False,55000
436,Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.4,101600,False,28000
437,Challenger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,160000,False,89000
438,Hilux,Abha,Toyota,Manual,Saudi,Full,2015,2.7,157000,False,60000
443,CL,Dammam,Mercedes,Automatic,Saudi,Full,2011,4.0,60000,False,170000
444,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,56000,False,50000
446,Innova,Jeddah,Toyota,Automatic,Saudi,Semi Full,2007,2.7,199800,False,25000
449,Yukon,Dammam,GMC,Automatic,Saudi,Standard,2013,5.3,327000,False,45000
455,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.8,86213,False,41500
456,Hilux,Jeddah,Toyota,Manual,Saudi,Full,2018,2.7,27000,False,88000
458,Edge,Riyadh,Ford,Automatic,Saudi,Full,2011,3.5,231000,False,35000
459,Wrangler,Jeddah,Jeep,Automatic,Saudi,Full,2015,3.6,200,False,85000
460,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2015,3.2,125000,False,130000
461,Datsun,Riyadh,Nissan,Manual,Saudi,Full,2016,2.0,22000,False,45000
462,Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,105,False,83000
465,C,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,96000,False,170000
466,Charger,Al-Medina,Dodge,Automatic,Other,Full,2016,1.7,140,False,65000
467,Pajero,Dammam,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,216000,False,58000
468,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,161353,False,57500
472,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,125000,False,66000
473,Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,190000,False,38000
475,Sierra,Qassim,GMC,Automatic,Saudi,Standard,2020,5.3,17000,False,135000
476,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,50000,False,33000
477,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88564,False,26800
480,Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2013,4.6,101000,False,150000
481,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2013,4.6,281000,False,135000
483,Rio,Riyadh,Kia,Automatic,Saudi,Semi Full,2018,2.0,85000,False,30000
484,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,74000,False,27000
485,Land Cruiser 70,Dammam,Toyota,Manual,Saudi,Semi Full,2014,4.0,70000,False,69000
486,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,22999,False,53000
487,The 7,Jeddah,BMW,Automatic,Saudi,Full,2014,6.0,182000,False,90000
489,Maxima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,3.5,158543,False,61500
490,Navara,Jeddah,Nissan,Automatic,Other,Full,2015,2.5,19000,False,38000
492,LS,Khobar,Lexus,Automatic,Saudi,Full,2015,4.6,103000,False,170000
493,Accent,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2019,1.4,65392,False,37000
495,Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2017,1.6,100000,False,44000
498,Accord,Qassim,Honda,Automatic,Gulf Arabic,Semi Full,2017,2.5,62847,False,82000
503,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2020,1.6,16479,False,56000
504,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,126000,False,63000
505,Accent,Dammam,Hyundai,Automatic,Saudi,Full,2020,1.6,10400,False,53000
506,Suburban,Taef,Chevrolet,Automatic,Other,Full,2008,5.3,263,False,32000
508,Yukon,Qassim,GMC,Automatic,Saudi,Full,2012,5.3,270,False,39000
509,Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,173700,False,30000
511,Yukon,Jeddah,GMC,Automatic,Saudi,Full,2013,2.7,300,False,55000
513,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2011,1.4,108000,False,19000
516,A6,Riyadh,Audi,Automatic,Saudi,Semi Full,2013,3.0,75000,False,70000
517,Flex,Dammam,Ford,Automatic,Saudi,Semi Full,2014,3.5,180000,False,49000
518,Innova,Jubail,Toyota,Automatic,Saudi,Full,2015,2.7,114000,False,49000
519,Taurus,Al-Namas,Ford,Automatic,Saudi,Semi Full,2010,4.4,10000,False,25000
521,Dokker,Riyadh,Renault,Manual,Saudi,Standard,2016,1.8,143000,False,20000
523,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,142311,False,75000
524,Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2017,3.3,88000,False,83000
525,CX5,Riyadh,Mazda,Automatic,Saudi,Full,2019,2.5,33000,False,102000
528,Camry,Qassim,Toyota,Automatic,Other,Standard,2016,2.5,148254,False,59000
529,Expedition,Al-Ahsa,Ford,Automatic,Saudi,Standard,2016,5.4,172000,False,76000
531,Camry,Jeddah,Toyota,Manual,Saudi,Standard,2009,2.5,350000,False,25000
533,CX9,Dammam,Mazda,Automatic,Gulf Arabic,Full,2016,3.7,169300,False,65000
