,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
1748,Vego,Jeddah,Ford,Automatic,Saudi,Standard,2019,1.5,47856,False,27500
1749,Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,False,53000
1750,Viano,Al-Medina,Mercedes,Automatic,Saudi,Full,2015,3.5,119000,False,99000
1753,Accord,Jeddah,Honda,Automatic,Other,Full,2010,2.4,205,False,30000
1758,ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,100000,False,115000
1759,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,False,28500
1761,Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,False,84000
1765,Macan,Dammam,Porsche,Automatic,Saudi,Full,2016,3.0,86000,False,158000
1767,Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,78000,False,63000
1768,Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2018,2.4,65000,False,64000
1769,Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,24552,False,76500
1770,Rio,Dammam,Kia,Automatic,Saudi,Standard,2016,1.4,154000,False,23000
1772,Suburban,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,192000,False,143000
1773,Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2016,3.5,126000,False,64000
1774,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,18197,False,53000
1778,Yaris,Dammam,Toyota,Automatic,Saudi,Full,2020,1.5,2100,False,50000
1779,Innova,Tabouk,Toyota,Automatic,Saudi,Full,2017,2.7,139400,False,58000
1780,Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,74000,False,75000
1781,Accent,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,174000,False,24000
1782,IS,Riyadh,Lexus,Automatic,Saudi,Full,2015,3.5,181000,False,60000
1784,Hilux,Makkah,Toyota,Manual,Saudi,Standard,2009,1.5,25788,False,30000
1785,Yukon,Dammam,GMC,Automatic,Saudi,Standard,2007,5.3,221000,False,30000
1786,Caprice,Jeddah,Chevrolet,Automatic,Saudi,Standard,2009,3.5,320000,False,27000
1787,Taurus,Jeddah,Ford,Automatic,Saudi,Standard,2018,3.5,63000,False,80000
1788,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,136000,False,58000
1789,Corolla,Khobar,Toyota,Automatic,Saudi,Semi Full,2018,1.6,124000,False,40000
1793,Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,2006,3.5,300,False,21000
1797,Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315,False,85000
1801,CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,False,66000
1802,Rav4,Riyadh,Toyota,Automatic,Other,Full,2018,2.5,61000,False,83000
1803,Land Cruiser Pickup,Riyadh,Nissan,Automatic,Saudi,Full,2016,4.8,44000,False,95000
1804,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,91355,False,74500
1806,Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.5,30766,False,42000
1808,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,107320,False,130000
1810,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2016,5.3,146000,False,118000
1815,Traverse,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2020,3.6,22800,False,100000
1817,Pajero,Khobar,Mitsubishi,Automatic,Saudi,Standard,2015,3.5,264000,False,38000
1818,Navara,Abha,Nissan,Manual,Saudi,Standard,2015,2.5,119000,False,37000
1820,FJ,Aseer,Toyota,Automatic,Gulf Arabic,Full,2015,4.0,200000,False,88000
1821,Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,2.5,42000,False,95000
1822,Durango,Riyadh,Dodge,Automatic,Other,Semi Full,2012,5.7,315,False,20000
1824,LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,4.6,130000,False,75000
1826,Azkarra,Qassim,Geely,Automatic,Saudi,Full,2021,1.5,20000,False,78000
1828,Avalon,Taef,Toyota,Automatic,Saudi,Full,2017,3.5,180000,False,95000
1829,RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,176700,False,130000
1832,Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2018,5.3,82011,False,146500
1834,Caprice,Dammam,Chevrolet,Automatic,Saudi,Full,2013,6.0,190000,False,50000
1837,Innova,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,123000,False,33000
1839,GL,Riyadh,Mercedes,Automatic,Saudi,Full,2012,4.8,106000,False,71000
1840,Furniture,Al-Medina,Toyota,Automatic,Saudi,Full,2008,4.0,288000,False,36000
1842,Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,45370,False,49000
1844,Veloster,Riyadh,Hyundai,Automatic,Saudi,Full,2013,2.0,248000,False,25000
1845,L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2020,2.5,197,False,71000
1846,Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2015,2.7,77000,False,45000
1848,6,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,2.0,196000,False,50000
1849,City,Riyadh,Honda,Automatic,Gulf Arabic,Full,2016,4.0,51000,False,43000
1854,Victoria,Taef,Ford,Automatic,Saudi,Standard,2006,4.6,320000,False,19500
1856,Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2017,2.4,69000,False,51000
1857,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,90000,False,27000
1858,Marquis,Tabouk,Ford,Automatic,Other,Standard,2007,4.6,260000,False,18000
1859,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,73567,False,36500
1860,Elantra,Hail,Hyundai,Automatic,Saudi,Standard,2017,2.0,86000,False,34000
1864,S,Riyadh,Mercedes,Automatic,Other,Semi Full,2005,5.0,350000,False,20000
1865,Explorer,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,3.5,127000,False,88000
1870,FJ,Dammam,Toyota,Automatic,Saudi,Full,2017,4.0,265000,False,110000
1872,Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,2006,4.5,86000,False,90000
1873,Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2016,2.7,331000,False,62000
1875,Tahoe,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2011,5.3,250000,False,40000
